City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,igarka,67.4667,86.5833,0.57,82,99,1.79,RU,1717419720
142,homer,59.6425,-151.5483,8.91,79,100,1.66,US,1717419721
143,metlili chaamba,32.2667,3.6333,32.52,25,63,9.77,DZ,1717419721
144,birao,10.2849,22.7882,41.77,13,98,2.08,CF,1717419722
145,hawaiian paradise park,19.5933,-154.9731,21.73,96,100,3.09,US,1717419723
146,soufriere,13.8562,-61.0566,29.94,88,40,7.72,LC,1717419723
147,hiratacho,35.4333,132.8167,18.01,82,100,5.14,JP,1717419724
148,afaahiti,-17.75,-149.2833,23.93,75,100,3.68,PF,1717419725
149,port alfred,-33.5906,26.891,16.21,91,100,1.34,ZA,1717419726
150,katsuura,35.1333,140.3,18.41,86,98,6.68,JP,1717419727
151,mount gambier,-37.8333,140.7667,6.3,91,100,1.69,AU,1717419727
152,alice springs,-23.7,133.8833,11.75,100,100,4.63,AU,1717419728
153,georgetown,5.4112,100.3354,29.97,71,20,1.54,MY,1717419729
154,baley,51.6,116.6333,16.44,43,24,2.75,RU,1717419730
155,talnakh,69.4865,88.3972,-1.55,87,9,0.92,RU,1717419730
156,nouadhibou,20.931,-17.0347,24.99,61,2,7.2,MR,1717419731
157,kavieng,-2.5744,150.7967,28.7,76,12,5.0,PG,1717419732
158,sao geraldo do araguaia,-6.4006,-48.555,29.23,59,100,4.12,BR,1717419732
159,walvis bay,-22.9575,14.5053,20.53,34,0,0.0,NA,1717419733
160,fortuna,40.5982,-124.1573,16.07,97,100,0.0,US,1717419734
161,avarua,-21.2078,-159.775,21.03,68,89,2.57,CK,1717419735
162,kodiak,57.79,-152.4072,6.73,93,100,2.06,US,1717419735
163,anori,-3.7728,-61.6442,26.96,84,100,1.59,BR,1717419685
164,manta,-0.95,-80.7333,22.88,88,100,5.14,EC,1717419736
165,newcastle,-32.9272,151.7765,12.27,69,5,8.75,AU,1717419737
166,kazan,55.7887,49.1221,28.34,56,100,3.05,RU,1717419699
167,galle,6.0367,80.217,27.12,88,97,3.86,LK,1717419738
168,oujda-angad,34.6805,-1.9076,24.35,50,75,5.14,MA,1717419739
169,longyearbyen,78.2186,15.6401,6.91,76,75,8.75,SJ,1717419699
170,carutapera,-1.195,-46.02,28.52,77,90,4.81,BR,1717419740
171,ghat,24.9647,10.1728,40.96,9,37,2.67,LY,1717419732
172,porto novo,6.4965,2.6036,31.9,64,100,3.89,BJ,1717419742
173,college,64.8569,-147.8028,12.87,74,70,0.94,US,1717419743
174,kingston,17.997,-76.7936,30.09,70,40,2.06,JM,1717419467
175,ribeira grande,38.5167,-28.7,20.43,83,20,3.09,PT,1717419744
176,tamanrasset,22.785,5.5228,35.95,9,20,2.57,DZ,1717419733
177,keflavik,64.0049,-22.5624,6.24,56,75,8.75,IS,1717419745
178,dunedin,-45.8742,170.5036,9.33,60,11,0.45,NZ,1717419682
179,east london,-33.0153,27.9116,16.52,77,20,5.14,ZA,1717419747
180,basco,20.4487,121.9702,27.62,83,100,10.51,PH,1717419747
181,nemuro,43.3236,145.575,7.92,93,100,4.42,JP,1717419748
182,ostrovskoye,57.8057,42.2433,24.28,64,24,3.21,RU,1717419749
183,haiku-pauwela,20.9219,-156.3051,23.36,89,19,3.13,US,1717419749
184,porto velho,-8.7619,-63.9039,29.03,65,0,3.09,BR,1717419348
185,rongelap,11.1635,166.8941,28.18,83,100,8.88,MH,1717419751
186,st. paul,44.9444,-93.0933,19.76,93,75,4.63,US,1717419505
187,puerto baquerizo moreno,-0.9,-89.6,21.34,93,17,3.17,EC,1717419737
188,kalix,65.853,23.1565,14.93,61,48,3.87,SE,1717419753
189,xai-xai,-25.0519,33.6442,30.42,42,5,5.52,MZ,1717419754
190,magog,45.2668,-72.1491,22.91,77,0,0.51,CA,1717419630
191,iskateley,67.6803,53.1512,3.34,78,100,1.79,RU,1717419756
192,zhigalovo,54.8097,105.1578,14.9,64,6,1.68,RU,1717419756
193,quelimane,-17.8786,36.8883,30.97,66,20,3.38,MZ,1717419757
194,newman,37.3138,-121.0208,18.49,83,17,0.89,US,1717419758
195,eastham,41.8301,-69.9739,23.01,68,0,1.54,US,1717419744
196,cromwell,41.5951,-72.6454,24.58,70,100,1.23,US,1717419607
197,colonia,50.9333,6.95,16.92,67,100,2.57,DE,1717419612
198,pandan,14.0453,124.1694,28.0,81,100,2.34,PH,1717419760
199,kerikeri,-35.2268,173.9474,10.23,72,93,1.29,NZ,1717419761
200,fort mcmurray,56.7268,-111.381,7.77,76,100,4.63,CA,1717419629
201,magistral'nyy,56.1725,107.4458,14.09,64,67,1.5,RU,1717419762
202,antsiranana,-12.2787,49.2917,30.42,54,20,7.2,MG,1717419762
203,beloyarskiy,63.7119,66.6722,11.67,31,88,1.79,RU,1717419763
204,buta,2.7858,24.73,35.55,35,92,0.73,CD,1717419764
205,kapuskasing,49.4169,-82.4331,16.0,63,75,1.54,CA,1717419765
206,santa catalina,9.3337,122.8637,30.99,87,76,1.37,PH,1717419766
207,byron bay,-28.65,153.6167,12.33,64,0,5.0,AU,1717419766
208,olonkinbyen,70.9221,-8.7187,-0.25,98,100,10.08,SJ,1717419767
209,beira,-19.8436,34.8389,28.44,60,0,5.69,MZ,1717419767
210,princeville,45.7668,-61.2985,12.17,92,100,3.09,CA,1717419768
211,rio grande,-32.035,-52.0986,10.53,79,62,5.77,BR,1717419769
212,mejit,10.2753,170.8646,27.79,82,100,8.88,MH,1717419769
213,huancavelica,-12.7667,-74.9833,5.17,60,5,1.06,PE,1717419770
214,la sarre,48.8002,-79.1996,16.46,77,100,1.4,CA,1717419770
215,westport,41.1415,-73.3579,25.57,69,0,1.54,US,1717419752
216,tralee,52.2704,-9.7026,16.14,72,100,3.6,IE,1717419771
217,brokopondo,4.75,-55.1667,26.86,82,66,3.92,SR,1717419772
218,bredasdorp,-34.5322,20.0403,15.56,68,90,3.93,ZA,1717419772
219,gunjur,13.2019,-16.7339,30.04,51,20,2.57,GM,1717419773
220,queenstown,-31.8976,26.8753,12.28,34,73,9.53,ZA,1717419773
221,vicuna mackenna,-33.9197,-64.3922,6.05,63,100,2.98,AR,1717419774
222,manggar,-2.8833,108.2667,26.08,84,100,0.87,ID,1717419615
223,luderitz,-26.6481,15.1594,14.94,69,100,6.75,NA,1717419533
224,malhargarh,24.2833,74.9833,39.28,20,8,7.39,IN,1717419776
225,phan rang-thap cham,11.5667,108.9833,28.29,83,100,1.62,VN,1717419776
226,konarka,19.9,86.1167,31.22,73,100,6.16,IN,1717419777
227,pirallahi,40.4723,50.333,31.08,65,0,3.98,AZ,1717419778
228,san luis de la loma,17.2706,-100.8939,27.13,64,8,2.42,MX,1717419778
229,lodwar,3.1191,35.5973,35.62,30,1,2.51,KE,1717419779
230,coari,-4.085,-63.1414,27.19,81,83,1.47,BR,1717419688
231,akhnur,32.8667,74.7333,43.14,7,2,4.83,IN,1717419780
232,flying fish cove,-10.4217,105.6791,26.82,89,100,5.14,CX,1717419780
233,ubari,26.5921,12.7805,42.16,9,62,3.68,LY,1717419781
234,helensburgh,56.0061,-4.7265,18.56,55,5,1.34,GB,1717419781
235,las heras,-46.5419,-68.9359,1.32,68,100,1.53,AR,1717419782
236,stony plain,53.5334,-114.0021,13.06,70,75,4.12,CA,1717419783
237,richards bay,-28.783,32.0377,25.0,68,100,8.48,ZA,1717419636
238,selfoss,63.9331,-20.9971,6.69,58,96,1.79,IS,1717419784
239,nizhneudinsk,54.9076,99.0276,15.95,53,100,2.37,RU,1717419784
240,castro,-24.7911,-50.0119,17.56,66,82,1.65,BR,1717419766
241,kharkhorin,47.1975,102.8238,14.67,60,32,2.93,MN,1717419785
242,martuk,50.7475,56.5056,24.35,49,100,4.97,KZ,1717419786
243,suileng,47.25,127.0833,14.86,93,100,3.89,CN,1717419786
244,dryden,49.7833,-92.7503,13.16,94,100,4.12,CA,1717419772
245,isafjordur,66.0755,-23.124,4.02,60,100,6.17,IS,1717419787
246,taoudenni,22.6783,-3.9836,41.07,10,100,7.86,ML,1717419787
247,port saint john's,-31.6229,29.5448,22.22,82,100,8.51,ZA,1717419788
248,ixtlahuacan de los membrillos,20.35,-103.1833,18.49,49,6,2.4,MX,1717419788
249,timmins,48.4669,-81.3331,15.9,82,75,3.09,CA,1717419728
250,plettenberg bay,-34.0527,23.3716,16.25,73,21,3.05,ZA,1717419790
251,opuwo,-18.0607,13.84,25.85,4,0,4.38,NA,1717419790
252,st. john's,47.5649,-52.7093,10.38,98,100,5.66,CA,1717419605
253,suntar,62.1444,117.6319,14.31,81,44,1.93,RU,1717419792
